,省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均,开业时间2,签约时间2,存款数2
5696,河北省,石家庄市无极县南流乡呈现村,无极县南流乡呈现村,1301302040009,2016-05-25 00:00:00,,张家口银行,28,189700.0,6775,-9223372036854775808,83,18.97
5697,陕西省,咸阳市兴平市庄头镇南于村,兴平市庄头镇南于村,6104811050002,2016-06-02 00:00:00,,长安银行,3,15000.17,5000.056667,-9223372036854775808,75,1.500017
5698,山东省,潍坊市寒亭区央子镇河北岭子村,寒亭区央子镇河北岭子村,3707031010001,2016-05-26 00:00:00,,工商银行,0,0.0,\N,-9223372036854775808,82,0.0
5699,河北省,石家庄市正定县北早现乡丰家庄村,正定县北早现乡丰家庄村平安,1301232030026,2016-05-26 00:00:00,,平安银行,0,0.0,\N,-9223372036854775808,82,0.0
5700,江苏省,盐城市东台市东台镇兴房村,东台市东台镇兴房村,3209811220001,2016-05-26 00:00:00,,建设银行,0,0.0,\N,-9223372036854775808,82,0.0
5701,陕西省,汉中市城固县桔园镇李家堡村,城固县桔园镇李家堡村二,6107221070003,2016-05-26 00:00:00,,长安银行,88,115783.65,1315.723295,-9223372036854775808,82,11.578365
5702,湖南省,长沙市浏阳市柏加镇仙湖村,浏阳市柏加镇仙湖村,4301811230002,2016-05-26 00:00:00,,长沙银行,0,0.0,\N,-9223372036854775808,82,0.0
5703,江苏省,盐城市东台市安丰镇丰西村,东台市安丰镇丰西村,3209811080001,2016-05-26 00:00:00,,建设银行,0,0.0,\N,-9223372036854775808,82,0.0
5704,河北省,衡水市冀州市官道李镇西冯家庄村,冀州市官道李镇西冯家庄村,1311811020009,2016-05-27 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,81,0.0
5705,河北省,廊坊市大城县旺村镇祖寺村,大城县旺村镇祖寺村,1310251010022,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5706,湖南省,常德市桃源县浯溪河乡老官坪村,桃源县浯溪河乡老官坪村,4307252140001,2016-05-26 00:00:00,,长沙银行,0,0.0,\N,-9223372036854775808,82,0.0
5707,陕西省,宝鸡市麟游县招贤镇永丰村,麟游县招贤镇永丰村,6103291020001,2016-05-26 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,82,0.0
5708,陕西省,宝鸡市麟游县九成宫镇栗川村,麟游县九成宫镇栗川村,6103291000002,2016-05-26 00:00:00,,长安银行,0,0.0,\N,-9223372036854775808,82,0.0
5709,山东省,聊城市东昌府区阎寺街道办事处程堂村,东昌府区阎寺街道办事处程堂村,3715020060011,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5710,四川省,广元市利州区河西街道办事处杨家浩村,利州区河西街道办事处杨家浩村,5108020030001,2016-05-26 00:00:00,,中国银行,10,31722.05,3172.205,-9223372036854775808,82,3.172205
5711,四川省,广元市剑阁县上寺乡桅杆村,剑阁县上寺乡桅杆村,5108232330001,2016-05-26 00:00:00,,中国银行,0,0.0,\N,-9223372036854775808,82,0.0
5712,河北省,石家庄市藁城市增村镇北桥寨村,藁城市增村镇北桥寨村,1301821100015,2016-05-26 00:00:00,,张家口银行,0,0.0,\N,-9223372036854775808,82,0.0
