省,村名,站点,编号,签约时间,开业时间,银行,卡数,存款数,卡均
河北省,沧州市泊头市洼里王镇隆丰店村,泊头市洼里王镇隆丰店村,13090254,2015/1/14 15:14,2015/1/14 15:14,中国银行,158,3800000,24050.63291
河南省,开封市通许县竖岗镇张营村,开封市通许县竖岗镇张营村惠农支付服务点,41020143,2015/1/14 15:16,2015/1/14 15:16,中国银行,133,1387640.13,10433.38444
河北省,沧州市泊头市文庙镇张药包村,泊头市文庙镇张药包村,13090255,2015/1/14 15:16,2015/1/14 15:16,中国银行,130,700000,5384.615385
河北省,沧州市泊头市泊镇刘庄村,泊头市泊镇刘庄村,13090256,2015/1/14 15:19,2015/1/14 15:19,中国银行,109,310000,2844.036697
河北省,唐山市玉田县亮甲店镇张金庄村,玉田县郭家桥乡张扶庄村,13020333,2015/1/14 15:23,2015/1/14 15:23,中国银行,308,1100000,3571.428571
河北省,沧州市泊头市洼里王镇新村,泊头市洼里王镇新村,13090258,2015/1/14 15:23,2015/1/14 15:23,中国银行,390,3680000,9435.897436
河南省,开封市通许县大岗李乡刘寸岗村,开封市通许县大岗李乡刘寸岗村惠农支付服务点,41020148,2015/1/14 15:24,2015/1/14 15:24,中国银行,378,1797888.57,4756.318968
河南省,开封市通许县朱砂镇王庄4村,开封市通许县朱砂镇王庄村惠农支付服务点,41020149,2015/1/14 15:27,2015/1/14 15:27,中国银行,665,4554726.59,6849.212917
河北省,沧州市泊头市齐桥镇南王庄村,泊头市齐桥镇南王庄村,13090260,2015/1/14 15:27,2015/1/14 15:27,中国银行,158,2460000,15569.62025
甘肃省,兰州市榆中县来紫堡乡黄家庄村,榆中县来紫堡乡黄家庄村助农点,62010016,2015/1/14 15:28,2015/1/14 15:28,中国银行,60,7106.65,118.444167
河北省,沧州市泊头市齐桥镇昝觉寺村,泊头市齐桥镇昝觉寺,13090261,2015/1/14 15:30,2015/1/14 15:30,中国银行,324,4080000,12592.59259
江苏省,常州市金坛市水北镇水北村,常州市金坛县尧汤镇水北村,32040001,2015/1/14 15:30,2015/1/14 15:30,中国银行,0,0,\N
河南省,开封市开封县朱仙镇朱仙镇,开封县朱仙镇西大街村,41020151,2015/1/14 15:32,2015/1/14 15:32,中国银行,0,0,\N
江苏省,常州市新北区春江镇杨元村,常州市新北县西夏墅镇杨林村,32040002,2015/1/14 15:37,2015/1/14 15:37,中国银行,0,0,\N
河北省,沧州市泊头市齐桥镇大炉村,泊头市齐桥镇大炉村,13090265,2015/1/14 15:38,2015/1/14 15:38,中国银行,135,1160000,8592.592593
河南省,安阳市安阳县水冶镇阜北居,安阳县水冶镇阜城北街村朱全生,41050045,2015/1/14 15:40,2015/1/14 15:40,中国银行,453,10699744.66,23619.74539
河北省,沧州市泊头市齐桥镇大闫坞村,泊头市齐桥镇大闫务村,13090266,2015/1/14 15:40,2015/1/14 15:40,中国银行,171,1660000,9707.602339
河南省,周口市扶沟县白潭镇小岗杨村,扶沟县白潭镇小岗杨村,41160064,2015/2/11 0:00,2015/1/14 15:40,中国银行,361,2186915.77,6057.938421
河南省,郑州市新郑市龙湖镇王许村,新郑市龙湖镇王许惠农支付服务点,41010003,2015/1/14 0:00,2015/1/14 0:00,中国银行,915,7212785.42,7882.825596
江苏省,常州市金坛市尧塘镇南汤村,常州市金坛市尧塘镇南汤村,32040003,2015/1/14 15:44,2015/1/14 15:44,中国银行,0,0,\N
河南省,南阳市邓州市裴营乡寇营村,邓州市裴营乡寇营村屈桂华助农金融,41130035,2015/1/14 15:47,2015/1/14 15:47,中国银行,494,1520913.15,3078.771559
江苏省,常州市新北区孟河镇万绥村,常州市新北县孟小河镇万绥村,32040004,2015/1/14 15:54,2015/1/14 15:54,中国银行,0,0,\N
河北省,沧州市任邱市七间房乡梁沟一村,任丘市七间房乡梁沟一村,13090270,2015/1/14 15:56,2015/1/14 15:56,中国银行,32,60000,1875
河南省,开封市通许县邸阁乡郝庄村,开封市通许县邸阁乡赫庄村惠农支付服务点,41020159,2015/1/14 15:59,2015/1/14 15:59,中国银行,316,4497253.6,14231.81519
河北省,沧州市任邱市议论堡乡三杰村,任丘市三杰村,13090273,2015/1/14 16:01,2015/1/14 16:01,中国银行,327,4300000,13149.8471
河南省,南阳市新野县沙堰镇南村,新野县沙堰镇南新路郭阳阳助农金融,41130036,2015/1/14 16:02,2015/1/14 16:02,中国银行,300,5255865.4,17519.55133
